u,v,key,osmid,bridge,highway,lanes,maxspeed,name,oneway,reversed,length,geometry,access,tunnel,width,service,area,ref
27412888,8729332140,0,1450945996,yes,primary,2,50,Atatürk Bulvarı,False,False,44.971220969682854,"LINESTRING (28.9612568 41.0222611, 28.9616869 41.0225025)",,,,,,
27412888,1059526040,0,91264113,,primary_link,1,30,Unkapanı Köprülü Kavşağı,False,True,49.09866324666978,"LINESTRING (28.9612568 41.0222611, 28.9611321 41.0221512, 28.9610612 41.0221017, 28.9609665 41.0220436, 28.9609052 41.0219926, 28.9608697 41.0219355)",,,,,,
27412888,12022588414,0,931815219,,primary,2,50,Atatürk Bulvarı,False,True,146.0865350601301,"LINESTRING (28.9612568 41.0222611, 28.9611025 41.022178, 28.9609303 41.02208, 28.9606696 41.0219281, 28.9604637 41.0217797, 28.9603029 41.0216538, 28.9601803 41.0215334, 28.9600799 41.0214288, 28.960023 41.021351)",,,,,,
27609492,415160891,0,1060316454,,footway,,,,False,True,29.81332077401009,"LINESTRING (28.9448547 41.0408106, 28.9445398 41.0406862)",,,,,,
30215226,12824121456,0,28351468,,pedestrian,,,Şifahane Caddesi,False,False,65.98557284890605,"LINESTRING (28.9623402 41.0163717, 28.9617522 41.0159776)",,,,,,
30215226,3085937854,0,28351468,,pedestrian,,,Şifahane Caddesi,False,True,81.06102289359339,"LINESTRING (28.9623402 41.0163717, 28.9630164 41.0168924)",,,,,,
30215226,3085937863,0,1457536053,,pedestrian,,,Profesör Doktor Sıddık Sami Onar Caddesi,False,False,13.319302268986464,"LINESTRING (28.9623402 41.0163717, 28.9624489 41.0162844)",,,,,,
30215228,10073446433,0,4741938,,pedestrian,,,Profesör Doktor Sıddık Sami Onar Caddesi,False,False,60.45048376923566,"LINESTRING (28.9631482 41.0157233, 28.9636417 41.0153272)",,,,,,
30215228,10073446430,0,1457536054,,pedestrian,,,Profesör Doktor Sıddık Sami Onar Caddesi,False,True,2.2425812429498846,"LINESTRING (28.9631482 41.0157233, 28.9631299 41.015738)",,,,,,
30215228,12824125145,0,505011249,,pedestrian,,,Ayşekadın Hamamı Sokağı,False,True,65.69938548978193,"LINESTRING (28.9631482 41.0157233, 28.9626463 41.0153598, 28.9625849 41.0153129)",,,,,,
30215230,311367420,0,4741938,,pedestrian,,,Profesör Doktor Sıddık Sami Onar Caddesi,False,True,33.89268301511707,"LINESTRING (28.9639639 41.0150553, 28.9636967 41.0152839)",,,,,,
30215230,6140854185,0,4741939,,secondary,1,,Profesör Doktor Sıddık Sami Onar Caddesi,False,False,7.410907734685765,"LINESTRING (28.9639639 41.0150553, 28.964052 41.0150505)",,,,,,
30215230,10073446335,0,28350736,,secondary,1,,Süleymaniye Caddesi,False,True,45.32868696734302,"LINESTRING (28.9639639 41.0150553, 28.9634885 41.0151038, 28.9634281 41.0151069)",,,,,,
30215232,10226426313,0,4741939,,secondary,1,,Profesör Doktor Sıddık Sami Onar Caddesi,False,False,56.34658245521367,"LINESTRING (28.9645479 41.0150127, 28.9652167 41.0149666)",,,,,,
30215232,6140854185,0,4741939,,secondary,1,,Profesör Doktor Sıddık Sami Onar Caddesi,False,True,41.81820127799954,"LINESTRING (28.9645479 41.0150127, 28.964052 41.0150505)",,,,,,
30215232,8702502533,0,586009227,,footway,,,,False,False,12.989690530857457,"LINESTRING (28.9645479 41.0150127, 28.964561 41.0151291)",,,,,,
30215237,10073446403,0,112392945,,residential,1,,Tacirhane Sokağı,False,True,29.60812557487587,"LINESTRING (28.9667135 41.0150442, 28.9667217 41.014778)",,,,,,
30215237,3083509883,0,183319306,,tertiary,1,50,Şahende Sokağı,False,True,57.778944689970054,"LINESTRING (28.9667135 41.0150442, 28.9667078 41.0155638)",,,,,,
30215237,10202092399,0,183319560,,tertiary,1,50,İsmetiye Caddesi,False,False,56.49939614678695,"LINESTRING (28.9667135 41.0150442, 28.9663359 41.0149973, 28.9660471 41.0149721)",,,,,,
30215237,30215238,0,485177523,,tertiary,1,50,İsmetiye Caddesi,False,False,64.62453324387714,"LINESTRING (28.9667135 41.0150442, 28.967156 41.0151058, 28.9672991 41.0151153, 28.9674757 41.0151177)",,,,,,
30215238,2379755808,0,330106626,,living_street,1,,Uzunçarşı Caddesi,False,True,49.31558380590573,"LINESTRING (28.9674757 41.0151177, 28.9674403 41.014675)",,,,,,
30215238,3083371801,0,28350740,,pedestrian,,,Vasif Cinar Caddesi,False,True,69.23909044176139,"LINESTRING (28.9674757 41.0151177, 28.9675187 41.0151181, 28.9682987 41.0150734)",,,,,,
