u,v,length,geometry,highway,name,oneway,bridge,tunnel,access,u_elevation,v_elevation,elevation_gain,slope,abs_slope,is_too_short,is_steep_outlier,is_runner_friendly,clean_slope,clean_abs_slope
27412888,8729332140,44.971220969682854,"LINESTRING (28.9612568 41.0222611, 28.9616869 41.0225025)",primary,Atatürk Bulvarı,False,yes,,,1.732322454452515,0.724141001701355,-1.00818145275116,-0.0224183695930964,0.0224183695930964,False,False,False,-0.0224183695930964,0.0224183695930964
27412888,1059526040,49.09866324666978,"LINESTRING (28.9612568 41.0222611, 28.9611321 41.0221512, 28.9610612 41.0221017, 28.9609665 41.0220436, 28.9609052 41.0219926, 28.9608697 41.0219355)",primary_link,Unkapanı Köprülü Kavşağı,False,,,,1.732322454452515,5.051910877227783,3.319588422775268,0.0676105662204648,0.0676105662204648,False,False,False,0.0676105662204648,0.0676105662204648
27412888,12022588414,146.0865350601301,"LINESTRING (28.9612568 41.0222611, 28.9611025 41.022178, 28.9609303 41.02208, 28.9606696 41.0219281, 28.9604637 41.0217797, 28.9603029 41.0216538, 28.9601803 41.0215334, 28.9600799 41.0214288, 28.960023 41.021351)",primary,Atatürk Bulvarı,False,,,,1.732322454452515,6.317471027374268,4.585148572921753,0.0313865242339718,0.0313865242339718,False,False,False,0.0313865242339718,0.0313865242339718
27609492,415160891,29.81332077401009,"LINESTRING (28.9448547 41.0408106, 28.9445398 41.0406862)",footway,,False,,,,0.0,0.0,0.0,0.0,0.0,False,False,True,0.0,0.0
30215226,12824121456,65.98557284890605,"LINESTRING (28.9623402 41.0163717, 28.9617522 41.0159776)",pedestrian,Şifahane Caddesi,False,,,,49.07112121582031,49.18467330932617,0.1135520935058593,0.0017208624340637,0.0017208624340637,False,False,True,0.0017208624340637,0.0017208624340637
30215226,3085937854,81.06102289359339,"LINESTRING (28.9623402 41.0163717, 28.9630164 41.0168924)",pedestrian,Şifahane Caddesi,False,,,,49.07112121582031,49.63261413574219,0.561492919921875,0.0069267929256078,0.0069267929256078,False,False,True,0.0069267929256078,0.0069267929256078
30215226,3085937863,13.319302268986464,"LINESTRING (28.9623402 41.0163717, 28.9624489 41.0162844)",pedestrian,Profesör Doktor Sıddık Sami Onar Caddesi,False,,,,49.07112121582031,50.89924240112305,1.8281211853027344,0.1372535248756574,0.1372535248756574,False,False,True,0.1372535248756574,0.1372535248756574
30215228,10073446433,60.45048376923566,"LINESTRING (28.9631482 41.0157233, 28.9636417 41.0153272)",pedestrian,Profesör Doktor Sıddık Sami Onar Caddesi,False,,,,53.41699600219727,54.27840423583984,0.8614082336425639,0.0142498153849506,0.0142498153849506,False,False,True,0.0142498153849506,0.0142498153849506
30215228,10073446430,2.2425812429498846,"LINESTRING (28.9631482 41.0157233, 28.9631299 41.015738)",pedestrian,Profesör Doktor Sıddık Sami Onar Caddesi,False,,,,53.41699600219727,53.45441818237305,0.0374221801757741,0.0166871012113474,0.0166871012113474,True,False,True,,
30215228,12824125145,65.69938548978193,"LINESTRING (28.9631482 41.0157233, 28.9626463 41.0153598, 28.9625849 41.0153129)",pedestrian,Ayşekadın Hamamı Sokağı,False,,,,53.41699600219727,54.31647491455078,0.8994789123535085,0.0136908268722452,0.0136908268722452,False,False,True,0.0136908268722452,0.0136908268722452
30215230,311367420,33.89268301511707,"LINESTRING (28.9639639 41.0150553, 28.9636967 41.0152839)",pedestrian,Profesör Doktor Sıddık Sami Onar Caddesi,False,,,,54.78393936157227,54.32694625854492,-0.4569931030273508,-0.0134835327974335,0.0134835327974335,False,False,True,-0.0134835327974335,0.0134835327974335
30215230,6140854185,7.410907734685765,"LINESTRING (28.9639639 41.0150553, 28.964052 41.0150505)",secondary,Profesör Doktor Sıddık Sami Onar Caddesi,False,,,,54.78393936157227,54.57615280151367,-0.2077865600586008,-0.0280379364441529,0.0280379364441529,False,False,False,-0.0280379364441529,0.0280379364441529
30215230,10073446335,45.32868696734302,"LINESTRING (28.9639639 41.0150553, 28.9634885 41.0151038, 28.9634281 41.0151069)",secondary,Süleymaniye Caddesi,False,,,,54.78393936157227,54.60060119628906,-0.1833381652832102,-0.0040446387828373,0.0040446387828373,False,False,False,-0.0040446387828373,0.0040446387828373
30215232,10226426313,56.34658245521367,"LINESTRING (28.9645479 41.0150127, 28.9652167 41.0149666)",secondary,Profesör Doktor Sıddık Sami Onar Caddesi,False,,,,52.27719116210938,50.38317108154297,-1.8940200805664136,-0.0336137525655943,0.0336137525655943,False,False,False,-0.0336137525655943,0.0336137525655943
30215232,6140854185,41.81820127799954,"LINESTRING (28.9645479 41.0150127, 28.964052 41.0150505)",secondary,Profesör Doktor Sıddık Sami Onar Caddesi,False,,,,52.27719116210938,54.57615280151367,2.2989616394042898,0.0549751440556045,0.0549751440556045,False,False,False,0.0549751440556045,0.0549751440556045
30215232,8702502533,12.989690530857455,"LINESTRING (28.9645479 41.0150127, 28.964561 41.0151291)",footway,,False,,,,52.27719116210938,51.79000854492188,-0.4871826171875,-0.0375053290168985,0.0375053290168985,False,False,True,-0.0375053290168985,0.0375053290168985
30215237,10073446403,29.60812557487587,"LINESTRING (28.9667135 41.0150442, 28.9667217 41.014778)",residential,Tacirhane Sokağı,False,,,,40.04451751708984,42.9718017578125,2.9272842407226634,0.0988675974546198,0.0988675974546198,False,False,True,0.0988675974546198,0.0988675974546198
30215237,3083509883,57.778944689970054,"LINESTRING (28.9667135 41.0150442, 28.9667078 41.0155638)",tertiary,Şahende Sokağı,False,,,,40.04451751708984,30.36495780944824,-9.679559707641598,-0.1675274576159209,0.1675274576159209,False,False,False,-0.1675274576159209,0.1675274576159209
30215237,10202092399,56.49939614678695,"LINESTRING (28.9667135 41.0150442, 28.9663359 41.0149973, 28.9660471 41.0149721)",tertiary,İsmetiye Caddesi,False,,,,40.04451751708984,48.27036666870117,8.225849151611335,0.1455918065078139,0.1455918065078139,False,False,False,0.1455918065078139,0.1455918065078139
30215237,30215238,64.62453324387714,"LINESTRING (28.9667135 41.0150442, 28.967156 41.0151058, 28.9672991 41.0151153, 28.9674757 41.0151177)",tertiary,İsmetiye Caddesi,False,,,,40.04451751708984,27.26699256896973,-12.777524948120108,-0.1977194156265835,0.1977194156265835,False,False,False,-0.1977194156265835,0.1977194156265835
30215238,2379755808,49.31558380590573,"LINESTRING (28.9674757 41.0151177, 28.9674403 41.014675)",living_street,Uzunçarşı Caddesi,False,,,,27.26699256896973,36.40132522583008,9.134332656860348,0.1852220323054652,0.1852220323054652,False,False,True,0.1852220323054652,0.1852220323054652
