osmid,y,x,street_count,highway,ref,railway,geometry
27412888,41.0222611,28.9612568,3,,,,POINT (28.9612568 41.0222611)
27609492,41.0408106,28.9448547,1,,,,POINT (28.9448547 41.0408106)
30215226,41.0163717,28.9623402,3,,,,POINT (28.9623402 41.0163717)
30215228,41.0157233,28.9631482,3,,,,POINT (28.9631482 41.0157233)
30215230,41.0150553,28.9639639,3,,,,POINT (28.9639639 41.0150553)
30215232,41.0150127,28.9645479,3,,,,POINT (28.9645479 41.0150127)
30215237,41.0150442,28.9667135,4,,,,POINT (28.9667135 41.0150442)
30215238,41.0151177,28.9674757,4,,,,POINT (28.9674757 41.0151177)
30215239,41.0165609,28.9661658,3,,,,POINT (28.9661658 41.0165609)
30215244,41.0141074,28.9659276,3,,,,POINT (28.9659276 41.0141074)
30215246,41.0132134,28.9659734,3,,,,POINT (28.9659734 41.0132134)
30215248,41.0126222,28.965995,4,,,,POINT (28.965995 41.0126222)
30215250,41.012003,28.9660188,3,,,,POINT (28.9660188 41.012003)
30215252,41.0116957,28.9660099,4,,,,POINT (28.9660099 41.0116957)
30215295,41.0107153,28.9593377,3,,,,POINT (28.9593377 41.0107153)
30215296,41.010362,28.9593505,3,,,,POINT (28.9593505 41.010362)
31678562,41.009673,28.9612865,3,,,,POINT (28.9612865 41.009673)
31678593,41.0124357,28.9785492,5,,,,POINT (28.9785492 41.0124357)
31678598,41.0172365,28.9748744,3,,,,POINT (28.9748744 41.0172365)
31678600,41.0176784,28.9725003,3,speed_camera,,,POINT (28.9725003 41.0176784)
31678606,41.0061266,28.9731154,3,,,,POINT (28.9731154 41.0061266)
31678611,41.0072204,28.9770894,3,,,,POINT (28.9770894 41.0072204)
31678612,41.0075591,28.9766076,3,,,,POINT (28.9766076 41.0075591)
31678616,41.0058551,28.9787115,3,,,,POINT (28.9787115 41.0058551)
31678621,41.0084746,28.9813019,4,,,,POINT (28.9813019 41.0084746)
31678629,41.0109987,28.9746557,4,traffic_signals,,,POINT (28.9746557 41.0109987)
31678630,41.0103095,28.9742002,4,,,,POINT (28.9742002 41.0103095)
31678633,41.0115634,28.9737283,3,,,,POINT (28.9737283 41.0115634)
31678636,41.0130184,28.9750091,4,,,,POINT (28.9750091 41.0130184)
31678639,41.0072804,28.9796692,3,,,,POINT (28.9796692 41.0072804)
31678645,41.0110274,28.9828462,4,,,,POINT (28.9828462 41.0110274)
31678646,41.00958,28.9818351,4,,,,POINT (28.9818351 41.00958)
31678650,41.0092236,28.9816596,3,,,,POINT (28.9816596 41.0092236)
31678651,41.009016,28.9819123,3,,,,POINT (28.9819123 41.009016)
31678652,41.0087153,28.9815823,4,,,,POINT (28.9815823 41.0087153)
31678654,41.0089151,28.9813197,3,,,,POINT (28.9813197 41.0089151)
35890182,41.0182562,28.9717712,3,,,,POINT (28.9717712 41.0182562)
35890184,41.017432,28.9722579,3,,,,POINT (28.9722579 41.017432)
35891069,41.0229648,28.9625912,3,,,,POINT (28.9625912 41.0229648)
35892065,41.0225838,28.9616052,3,,,,POINT (28.9616052 41.0225838)
35892066,41.0223447,28.9611727,3,,,,POINT (28.9611727 41.0223447)
248137248,41.0087077,28.9608523,3,,,,POINT (28.9608523 41.0087077)
248137251,41.0081341,28.9623363,3,,,,POINT (28.9623363 41.0081341)
248137261,41.0071122,28.9683904,3,,,,POINT (28.9683904 41.0071122)
248137265,41.0070517,28.9732273,3,,,,POINT (28.9732273 41.0070517)
248137270,41.0070304,28.9703471,4,,,,POINT (28.9703471 41.0070304)
248137271,41.0056799,28.9696219,3,,,,POINT (28.9696219 41.0056799)
248137282,41.0052221,28.9653761,4,,,,POINT (28.9653761 41.0052221)
248137284,41.0068392,28.9664195,4,,,,POINT (28.9664195 41.0068392)
248137285,41.0074622,28.9667771,3,,,,POINT (28.9667771 41.0074622)
248137296,41.0069285,28.9580198,3,,,,POINT (28.9580198 41.0069285)
248137297,41.0065219,28.9592514,3,,,,POINT (28.9592514 41.0065219)
248137301,41.0053656,28.9630991,4,,,,POINT (28.9630991 41.0053656)
248137304,41.0048532,28.9651379,4,,,,POINT (28.9651379 41.0048532)
