routing_algorithm,selected_poi_ids,selected_poi_names,selected_poi_groups,total_length_m,distance_error_m,within_target_range,segment_lengths_m,route_node_count
astar,4506783904 | 4895209121 | 4763681623 | 5110342195,Kanuni Sultan Suleyman 1 Turbesi | Laleli | Alfred Heilbronn Botanik Bahçesi | Gülsoy cafe,museum_historic | viewpoint_attraction | park_garden | food,4499.797274652738,0.20272534726154845,True,448.67 | 1295.49 | 1695.43 | 928.71 | 131.50,97
astar,5110342195 | 4763681623 | 4895209121 | 4506783904,Gülsoy cafe | Alfred Heilbronn Botanik Bahçesi | Laleli | Kanuni Sultan Suleyman 1 Turbesi,food | park_garden | viewpoint_attraction | museum_historic,4499.7972746527375,0.20272534726245794,True,131.50 | 928.71 | 1695.43 | 1295.49 | 448.67,97
astar,5110342195 | 13530207351 | 5244807985 | 4506783904,Gülsoy cafe | Hoca Ahmet Yesevi Parkı | Çorlulu Alipaşa Madresesi | Kanuni Sultan Suleyman 1 Turbesi,food | park_garden | viewpoint_attraction | museum_historic,4501.401889707532,1.4018897075320638,True,131.50 | 2030.83 | 939.20 | 951.19 | 448.67,115
astar,4506783904 | 5244807882 | 13530207351 | 5110342195,Kanuni Sultan Suleyman 1 Turbesi | Merzifonlu Kara Mustafa Paşa Medresesi | Hoca Ahmet Yesevi Parkı | Gülsoy cafe,museum_historic | viewpoint_attraction | park_garden | food,4501.401889707533,1.4018897075329733,True,448.67 | 966.29 | 924.11 | 2030.83 | 131.50,115
astar,5110342195 | 13530207351 | 5244807882 | 4506783904,Gülsoy cafe | Hoca Ahmet Yesevi Parkı | Merzifonlu Kara Mustafa Paşa Medresesi | Kanuni Sultan Suleyman 1 Turbesi,food | park_garden | viewpoint_attraction | museum_historic,4501.401889707533,1.4018897075329733,True,131.50 | 2030.83 | 924.11 | 966.29 | 448.67,115
astar,4506783904 | 5244807985 | 13530207351 | 5110342195,Kanuni Sultan Suleyman 1 Turbesi | Çorlulu Alipaşa Madresesi | Hoca Ahmet Yesevi Parkı | Gülsoy cafe,museum_historic | viewpoint_attraction | park_garden | food,4501.401889707533,1.4018897075329733,True,448.67 | 951.19 | 939.20 | 2030.83 | 131.50,115
astar,5112732265 | 4763681623 | 5110342145 | 5244807985,Beyazıt Türk Hamam Kültürü Müzesi | Alfred Heilbronn Botanik Bahçesi | Anit kafe | Çorlulu Alipaşa Madresesi,museum_historic | park_garden | food | viewpoint_attraction,4502.480507116301,2.4805071163009416,True,469.78 | 1155.67 | 779.75 | 1048.78 | 1048.51,101
astar,5244807985 | 5110342145 | 4763681623 | 5112732265,Çorlulu Alipaşa Madresesi | Anit kafe | Alfred Heilbronn Botanik Bahçesi | Beyazıt Türk Hamam Kültürü Müzesi,viewpoint_attraction | food | park_garden | museum_historic,4502.480507116301,2.4805071163009416,True,1048.51 | 1048.78 | 779.75 | 1155.67 | 469.78,101
astar,8735018410 | 4506783904 | 9867832017 | 5110342145,Mehmet Akif Ersoy Parkı | Kanuni Sultan Suleyman 1 Turbesi | Rainbow stairs | Anit kafe,park_garden | museum_historic | viewpoint_attraction | food,4504.469587769979,4.469587769978716,True,1758.57 | 1603.54 | 346.85 | 709.20 | 86.32,108
astar,5110342145 | 9867832017 | 4506783904 | 8735018410,Anit kafe | Rainbow stairs | Kanuni Sultan Suleyman 1 Turbesi | Mehmet Akif Ersoy Parkı,food | viewpoint_attraction | museum_historic | park_garden,4504.469587769979,4.469587769978716,True,86.32 | 709.20 | 346.85 | 1603.54 | 1758.57,108
astar,5110342195 | 5244807882 | 13530207351 | 4506783904,Gülsoy cafe | Merzifonlu Kara Mustafa Paşa Medresesi | Hoca Ahmet Yesevi Parkı | Kanuni Sultan Suleyman 1 Turbesi,food | viewpoint_attraction | park_garden | museum_historic,4509.043504575145,9.043504575144652,True,131.50 | 1114.36 | 924.11 | 1890.40 | 448.67,115
