element,id,geometry,amenity,ferry,name,public_transport,source,wikidata,wikimedia_commons,wikipedia,created_by,name:ar,tourism,wheelchair,education,name:de,name:en,name:fa,name:fr,name:ru,healthcare,addr:housenumber,addr:postcode,addr:street,brand,brand:wikidata,brand:wikipedia,operator,information,opening_hours,historic,image,name:el,name:es,name:hi,name:pt,name:tr,name:zh,cash_in,cuisine,check_date,fee,alt_name,bath:type,leisure,name:it,name:uk,addr:city,addr:district,emergency,healthcare:speciality,shop,phone,addr:neighbourhood,description,stars,branch,website,contact:mobile,addr:country,addr:floor,addr:suburb,air_conditioning,diet:vegetarian,drive_through,indoor_seating,level,outdoor_seating,barrier,historic:civilization,name:sr,name:sr-Latn,start_date,operator:type,operator:wikidata,operator:wikipedia,access,name:en1,name:en2,email,internet_access,internet_access:fee,parking,male,note,source:alt_name,fax,addr:housename,capacity,unisex,contact:website,payment:credit_cards,payment:debit_cards,designation,int_name,wikipedia:ru,backrest,official_name,takeaway,smoking,man_made,atm,female,contact:email,contact:phone,payment:cash,changing_table,diet:vegan,toilets,toilets:wheelchair,toilets:handwashing,toilets:position,bar,payment:mastercard,payment:visa,wifi,fixme,covered,material,memorial,denomination,vending,currency:TRY,indoor,currency:EUR,lit,payment:cards,beds,name:he,contact:instagram,self_service,city,district,rooms,pets,website:menu,name:ja,building:levels,comments,reservation,name:ko,sport,delivery,cemetery,landuse,religion,construction_date,old_name,wedding_reception,addr:full,office,refugee,operator:short,automated,artwork,artwork_type,operator:en,operator:tr,dispensing,brand:ar,abandoned,museum,highway,contact:twitter,studio,wikipedia:fr,fast_food,free,not:operator:wikidata,andymkg,name:pt-BR,military,layer,drink:wine,check_date:opening_hours,opening_hours:signed,payment:lightning,contact:facebook,diet:gluten_free,diet:halal,brewery,microbrewery,compressed_air,currency:XBT,hazard,bicycle_parking,seats,network,display,support,building,name:hy,name:pl,ele,charge,payment:coins,language:ar,bench,shelter_type,subject:wikipedia,description:ru,guest_house,preschool,check_date:wheelchair,name:ko-Latn,toilets:disposal,ref:isil,grades,bicycle_rental,ambulance,payment:app,payment:membership_card,payment:qr_code,rental,payment:cryptocurrencies,phone_1,name:be,name:bg,name:ja-Latn,name:th,name:zh-Hans,name:id,theme,price,inscription,seasonal,fitness_station,name:cnr,name:ja_rm,name:sv,natural,power,location,board_type,colour,blind,country,bike_ride,artist_name,name:cs,name:cy,name:da,name:hr,name:ku,name:nl,name:no,name:ro,name:sk,name:sl,name:zh-Hant,addr:subdistrict,map_size,map_type,waste,armrest,contact:linkedin,contact:youtube,payment:american_express,payment:contactless,payment:diners_club,payment:discover_card,payment:jcb,payment:maestro,payment:unionpay,payment:visa_electron,old_name:en,portable,diet:healthy,diet:local,diet:meat,diet:mediterranean,diet:organic,organic,payment:notes,short_name,operator:ref,internet_access:type,name:hu,name:la,name:mk,ruins,name:grc,contact:booking,internet_access:ssid,addr:province,mobile,fountain,disused,diet:chicken,diet:fish,diet:pescetarian,diet:seafood,diet:sugar_free,description:en,interval,archaeological_site,tower:type,area,architect,bridge,bridge:structure,foot,height,length,motor_vehicle,smoothness,was:waterway,width,date,wheelchair:description,wikipedia:en,alt_name:en,alt_name:pt,place,surface,name:br,roof:colour,alt_name_1,alt_name:ru,parking:fee,alt_name:br,alt_name:hr,alt_name:yue,alt_name:zh,alt_name:zh-Hans,alt_name:zh-Hant,heritage,heritage:operator,heritage:ref,heritage:website,landmark,name:af,name:als,name:am,name:an,name:arz,name:ast,name:av,name:az,name:azb,name:ba,name:bar,name:bat-smg,name:be-tarask,name:bn,name:bs,name:bxr,name:ca,name:ce,name:ckb,name:crh,name:diq,name:dv,name:eo,name:et,name:eu,name:fi,name:fy,name:ga,name:gl,name:ha,name:hif,name:hyw,name:ilo,name:io,name:is,name:jv,name:ka,name:kbp,name:kk,name:kw,name:ky,name:lt,name:lv,name:mg,name:min,name:ml,name:mn,name:mr,name:ms,name:my,name:nan,name:ne,name:nn,name:oc,name:pa,name:pnb,name:qu,name:rue,name:sah,name:sco,name:sh,name:simple,name:sq,name:stq,name:su,name:sw,name:ta,name:tl,name:tt,name:ug,name:ur,name:uz,name:vi,name:war,name:wuu,name:xmf,name:yi,name:yue,note:tr,ref:whc,url,was:religion,whc:criteria,whc:inscription_date,drinking_water,building:colour,building:material,nohousenumber,roof:levels,roof:shape,name:signed,two_sided,supervised,end_date,note:bg,is_in:city,roof:height,roof:material,kerb,dog,locomotive:type,ref,tomb,payment:nfc,alt_name:ar,castle_type,name:kk-Arab,addr:place,contact:fax,historic:period,ruin_type,payment:visa_debit,park_ride,name_1,name_2,bath:open_air,payment:istanbulkart,building:use,wikipedia:tr,hoops,building:part,tower:construction,building:levels:underground,bus,fire_station:type,mooring,note:start_date,intermittent,underground,name_alt,townhall:type,heating,type,disused:amenity,est_height,official_name:br,official_name:cs,official_name:en,official_name:ml,official_name:pt
node,27609492,POINT (28.944855 41.040811),ferry_terminal,yes,Ayvansaray,station,PGS,Q113407620,Category:Ayvansaray Pier,tr:Ayvansaray İskelesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,262396496,POINT (28.955849 41.01118),,,Yiğitalp Oteli,,,,,,Potlatch 0.8c,فندق يغيتالب,hotel,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,262402714,POINT (28.969899 41.017163),restaurant,,Hamdi,,,,,,,حمدي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,269715461,POINT (28.963761 41.013242),university,,İstanbul Üniversitesi,,,Q192964,Category:Istanbul University,tr:İstanbul Üniversitesi,,جامعة اسطنبول,,yes,university,Universität Istanbul,Istanbul University,دانشگاه استانبول,Université d'Istanbul,Университет Стамбула,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,275600519,POINT (28.969151 41.005917),,,Hotel Grand Yavuz,,,Q111400358,,,Potlatch 0.9c,فندق جراند يافوز,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,277139039,POINT (28.956017 41.01266),pharmacy,,,,,,,,,,,no,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,277139847,POINT (28.954979 41.01205),,,Senator Hotel,,,Q111400406,,,,فندق سيناتور,hotel,no,,,Holiday inn old city,,,Холидей инн в старом городе,,5,34134,"Gencturk Cad. Sirvanizade Sok., No 5. Vezneciler Fatih Istanbul, 34134, Turkey",Best Western,Q830334,en:Best Western,Best Western,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,277139848,POINT (28.955118 41.012271),restaurant,,,,,,,,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,278004998,POINT (28.981375 41.006997),,,Mavi Guesthouse,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,311375861,POINT (28.959317 41.019373),parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
